# ID | JAR 名称（多个以英文逗号分隔） | 类型 NATIVE HESSIAN JDBC FASTJSON | 描述字符串
1|commons-beanutils-1.10.1.jar|NATIVE|CB 存在原生反序列化 GADGET
2|commons-beanutils-1.10.0.jar|NATIVE|CB 存在原生反序列化 GADGET
3|commons-beanutils-1.9.4.jar|NATIVE|CB 存在原生反序列化 GADGET
4|commons-beanutils-1.9.3.jar|NATIVE|CB 存在原生反序列化 GADGET
5|commons-beanutils-1.9.2.jar|NATIVE|CB 存在原生反序列化 GADGET
6|commons-beanutils-1.9.1.jar|NATIVE|CB 存在原生反序列化 GADGET
7|commons-beanutils-1.9.0.jar|NATIVE|CB 存在原生反序列化 GADGET
8|commons-beanutils-1.8.3.jar|NATIVE|CB 存在原生反序列化 GADGET
9|commons-beanutils-1.8.2.jar|NATIVE|CB 存在原生反序列化 GADGET
10|commons-beanutils-1.8.0.jar|NATIVE|CB 存在原生反序列化 GADGET
11|commons-beanutils-1.8.0-BETA.jar|NATIVE|CB 存在原生反序列化 GADGET
12|commons-beanutils-1.7.0.jar|NATIVE|CB 存在原生反序列化 GADGET
13|commons-beanutils-1.6.1.jar|NATIVE|CB 存在原生反序列化 GADGET
14|commons-beanutils-1.6.jar|NATIVE|CB 存在原生反序列化 GADGET
15|commons-beanutils-1.5.jar|NATIVE|CB 存在原生反序列化 GADGET
16|commons-beanutils-1.4.1.jar|NATIVE|CB 存在原生反序列化 GADGET
17|commons-beanutils-1.3.jar|NATIVE|CB 存在原生反序列化 GADGET
18|commons-beanutils-1.2.jar|NATIVE|CB 存在原生反序列化 GADGET
19|commons-beanutils-1.0.jar|NATIVE|CB 存在原生反序列化 GADGET
20|commons-beanutils-1.0.jar|NATIVE|CB 存在原生反序列化 GADGET
21|commons-beanutils-20030211.134440.jar|NATIVE|CB 存在原生反序列化 GADGET
22|commons-beanutils-20021128.082114.jar|NATIVE|CB 存在原生反序列化 GADGET
23|commons-beanutils-20020520.jar|NATIVE|CB 存在原生反序列化 GADGET
